
--- Updating Card Dump ---
--- Reading from Tag ---

[*] Full card dump:
Block 00: a0 e9 66 95 ba 08 04 00 03 20 c9 41 25 d1 63 90 | Decoded: Not readable plaintext
Block 01: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 02: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 03: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 04: 0e db ce f4 67 fb 53 15 ca f6 34 37 91 74 6e 87 | Decoded: Not readable plaintext
Block 05: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 07: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 08: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 09: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 11: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 12: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 13: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 14: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 15: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 16: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 17: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 18: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 19: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 21: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
